[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
[100 20 , 100 19 1 , 100 19 , 99 21 , 99 19 2 , 99 19 2 , 99 16 5 , 98 22 , 98 16 4 , 97 23 , 97 23 , 95 25 , 95 24 , 95 23 , 95 24 , 94 24 , 94 23 2 , 94 23 , 93 17 10 , 92 16 10 , 92 28 , 91 24 4 , 91 17 12 , 91 29 , 91 29 , 91 22 7 , 90 16 13 , 90 30 , 90 30 , 90 30 , 89 16 15 , 89 16 15 , 89 30 , 88 32 , 87 32 , 87 13 8 7 4 , 87 9 4 4 4 3 , 87 13 9 8 , 87 , 86 , 86 , 86 , 85 , 83 36 , 83 36 , 82 38 , 82 38 , 81 39 , 81 38 , 80 40 , 80 40 , 79 41 , 79 40 , 78 40 , 78 42 , 78 38 , 77 38 , 77 43 , 76 43 , 76 42 , 76 44 , 75 45 , 74 46 , 74 46 , 74 46 , 74 46 , 73 47 , 72 45 , 72 45 , 72 47 , 72 35 , 71 48 , 70 50 , 70 49 , 69 51 , 69 51 , 67 53 , 67 53 , 67 44 , 65 54 , 64 40 , 64 56 , 63 57 , 62 57 , 61 58 , 60 60 , 60 59 , 60 59 , 59 57 , 58 56 , 55 41 ]
